case,angle_deg,status,accepted,wrapper_return_code,history_rows,statistics_window,cl_mean,cl_std,cl_peak_to_peak,cd_mean,cd_std,cd_peak_to_peak,final_density_residual_log10
euler_alpha0,0,NUMERICAL_GATE_PASS,True,0,2000,200,5.1002511217849994e-12,1.1080912574326846e-12,3.516892127e-12,0.027364288603999996,4.4981660266526835e-06,1.4928000000000857e-05,-4.155272727
euler_alpha4,4,NUMERICAL_GATE_PASS,True,0,2000,200,0.09807289626915,1.0542263203582662e-05,3.753466000000483e-05,0.03488493442525,4.26803243305468e-06,1.4893570000000522e-05,-4.111638073
euler_alpha8,8,FIELD_RETAINED_ACCEPTANCE_UNKNOWN,False,,2000,200,0.196905744923,2.3959627883149152e-05,9.010029999997893e-05,0.05750682366285,5.465379265187748e-06,2.337444000000133e-05,-4.006200898
