iteration,density_residual_log10,cl,cd
0,-4.40866115,0.09828150996,0.03466848182
0,-4.407079182,0.09827704849,0.03467194428
0,-4.40540566,0.0982722648,0.03467564913
0,-4.403624113,0.09826721017,0.0346795901
0,-4.401876259,0.09826214059,0.03468380668
0,-4.400156351,0.09825706462,0.03468825371
0,-4.398462834,0.09825187717,0.03469290084
0,-4.396885076,0.09824648979,0.03469761057
0,-4.395317109,0.09824096492,0.03470222028
0,-4.39371824,0.09823555642,0.03470659385
0,-4.392049402,0.0982304063,0.03471060343
0,-4.390331746,0.09822555042,0.0347141352
0,-4.388613326,0.09822100849,0.0347171498
0,-4.386910718,0.09821680053,0.03471964546
0,-4.385218908,0.09821293698,0.03472161829
0,-4.383531235,0.09820940991,0.03472306716
0,-4.381844354,0.0982061191,0.03472402102
0,-4.380155777,0.09820305509,0.03472454353
0,-4.378464036,0.09820021509,0.0347247278
0,-4.376766733,0.09819759191,0.0347247288
0,-4.375061752,0.09819517624,0.03472461903
0,-4.373347209,0.0981929464,0.03472440168
0,-4.371621413,0.09819087202,0.03472407253
0,-4.369881498,0.09818889297,0.03472355282
0,-4.368124348,0.09818714065,0.0347229977
0,-4.366353392,0.09818559531,0.03472242891
0,-4.36457144,0.09818425104,0.03472186615
0,-4.36278863,0.09818310821,0.03472133335
0,-4.360993976,0.09818216272,0.03472083439
0,-4.359184695,0.09818140804,0.03472035804
0,-4.357359519,0.09818083671,0.0347198811
0,-4.355522984,0.09818043804,0.03471938691
0,-4.353677894,0.09818019547,0.03471887181
0,-4.351820399,0.09818009523,0.03471833476
0,-4.349948491,0.09818012516,0.03471777551
0,-4.348064942,0.09818027214,0.03471719351
0,-4.346172373,0.09818052043,0.03471658901
0,-4.344272011,0.09818084731,0.03471596247
0,-4.342363008,0.09818122631,0.03471536945
0,-4.340447638,0.09818165566,0.03471478526
0,-4.338529075,0.09818213161,0.03471419538
0,-4.336604817,0.09818264919,0.03471359153
0,-4.334677307,0.09818320096,0.03471296928
0,-4.332748422,0.09818378123,0.03471232755
0,-4.330813336,0.09818437343,0.03471166324
0,-4.328868847,0.09818496477,0.03471097505
0,-4.326910506,0.0981856077,0.03471027556
0,-4.324932508,0.09818632955,0.03470957198
0,-4.322950161,0.09818711892,0.03470886341
0,-4.320966114,0.09818796842,0.03470814967
0,-4.318975047,0.09818887302,0.03470743107
0,-4.31697228,0.0981898364,0.03470670966
0,-4.314951249,0.09819086274,0.03470598772
0,-4.312908456,0.09819195958,0.0347052679
0,-4.310855847,0.09819314366,0.03470455226
0,-4.308808958,0.09819441899,0.03470384159
0,-4.306791901,0.09819578684,0.03470313569
0,-4.304822644,0.09819722962,0.03470243483
0,-4.302927826,0.09819875184,0.03470173738
0,-4.301127321,0.09820035984,0.0347010416
0,-4.299429464,0.09820202266,0.03470033915
0,-4.297834731,0.09820374091,0.03469962592
0,-4.296326487,0.09820554555,0.03469890156
0,-4.29488164,0.09820746977,0.0346981644
0,-4.293469502,0.09820955013,0.03469741176
0,-4.29206276,0.09821182616,0.03469664004
0,-4.290609985,0.09821434729,0.03469584684
0,-4.289078401,0.09821721898,0.03469504252
0,-4.287465683,0.09822045421,0.03469422059
0,-4.285802177,0.09822403742,0.03469337694
0,-4.284097812,0.09822789917,0.0346925119
0,-4.282386546,0.09823188797,0.03469163194
0,-4.28069635,0.09823575864,0.03469075121
0,-4.279076223,0.09823930064,0.03468988288
0,-4.277584983,0.09824250795,0.0346890267
0,-4.276257855,0.09824538425,0.03468818226
0,-4.275124978,0.09824793603,0.03468734962
0,-4.274192541,0.09825017069,0.03468652903
0,-4.273452529,0.09825209695,0.0346857208
0,-4.272871798,0.09825372502,0.03468492518
0,-4.272404058,0.09825506624,0.03468414236
0,-4.271995272,0.09825613331,0.03468337263
0,-4.271587313,0.0982569398,0.03468261636
0,-4.271116136,0.09825749936,0.03468187385
0,-4.270528318,0.0982578288,0.03468114592
0,-4.269782902,0.09825794317,0.03468043292
0,-4.268826874,0.09825785761,0.03467973516
0,-4.267642393,0.09825758641,0.03467905294
0,-4.266290391,0.09825714438,0.03467838645
0,-4.264867002,0.09825654641,0.03467773576
0,-4.263444822,0.09825580715,0.03467710086
0,-4.262100908,0.09825494095,0.03467648165
0,-4.260883023,0.09825396146,0.03467587794
0,-4.259835194,0.09825288415,0.03467529165
0,-4.259006848,0.09825173637,0.03467473517
0,-4.258410166,0.0982505664,0.03467422389
0,-4.258050126,0.09824939431,0.03467375636
0,-4.257923767,0.09824822055,0.03467332406
0,-4.257997642,0.09824704102,0.03467291905
0,-4.258218713,0.09824585444,0.03467253658
0,-4.258527845,0.09824465736,0.03467217228
0,-4.2588559,0.09824344961,0.03467182319
0,-4.259114147,0.09824223133,0.0346714869
0,-4.25922617,0.09824100302,0.03467116137
0,-4.259127126,0.09823976572,0.03467084494
0,-4.258762586,0.09823852084,0.03467053612
0,-4.258114792,0.09823726994,0.03467023371
0,-4.257212507,0.09823601468,0.0346699367
0,-4.256152759,0.09823475681,0.03466964419
0,-4.255013642,0.098233498,0.03466935514
0,-4.253882074,0.0982322399,0.0346690684
0,-4.252792802,0.09823098465,0.03466878306
0,-4.251794786,0.09822973446,0.03466849834
0,-4.250934774,0.09822849162,0.03466821367
0,-4.250273779,0.09822725809,0.03466792841
0,-4.249841013,0.09822603401,0.03466763984
0,-4.249631461,0.09822481463,0.03466734419
